model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,HHS_HCC030,Yes,1.314,1.237,1.184,1.108,1.104
Adult,HHS_HCC034,Yes,6.014,6.07,6.119,6.189,6.189
Adult,HHS_HCC035_1,Yes,7.464,7.288,7.254,7.181,7.184
Adult,HHS_HCC035_2,Yes,2.319,2.16,2.125,2.042,2.041
Adult,HHS_HCC036,Yes,0.613,0.534,0.49,0.417,0.416
Adult,HHS_HCC037_1,Yes,0.514,0.454,0.403,0.348,0.347
Adult,HHS_HCC037_2,Yes,0.514,0.454,0.403,0.348,0.347
Adult,HHS_HCC041,Yes,6.014,6.07,6.119,6.189,6.189
Adult,HHS_HCC042,Yes,11.053,10.907,10.903,10.857,10.857
Adult,HHS_HCC045,Yes,5.038,4.837,4.783,4.669,4.668
Adult,HHS_HCC046,Yes,2.467,2.298,2.253,2.167,2.166
Adult,HHS_HCC047,Yes,2.467,2.298,2.251,2.147,2.146
Adult,HHS_HCC048,Yes,1.108,1.023,0.944,0.82,0.816
Adult,HHS_HCC054,Yes,8.617,8.468,8.446,8.388,8.388
Adult,HHS_HCC055,Yes,4.567,4.401,4.381,4.321,4.322
Adult,HHS_HCC056,Yes,1.082,0.993,0.93,0.845,0.843
Adult,HHS_HCC057,Yes,0.399,0.329,0.249,0.146,0.142
Adult,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC063,Yes,0.922,0.819,0.759,0.678,0.676
Adult,HHS_HCC066,Yes,72.761,72.491,72.466,72.379,72.38
Adult,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC070,Yes,1.69,1.607,1.553,1.479,1.477
Adult,HHS_HCC071,Yes,1.69,1.607,1.553,1.479,1.477
Adult,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC075,Yes,2.148,2.068,2.02,1.947,1.946
Adult,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC087_1,Yes,2.227,2.063,1.986,1.864,1.862
Adult,HHS_HCC087_2,Yes,2.19,2.03,1.951,1.82,1.818
Adult,HHS_HCC088,Yes,0.969,0.871,0.786,0.672,0.669
Adult,HHS_HCC090,Yes,0.663,0.586,0.492,0.379,0.376
Adult,HHS_HCC094,Yes,2.0,1.894,1.827,1.722,1.719
Adult,HHS_HCC096,Yes,8.59,8.557,8.527,8.484,8.481
Adult,HHS_HCC097,Yes,0.938,0.875,0.826,0.764,0.763
Adult,HHS_HCC102,Yes,0.718,0.641,0.553,0.455,0.452
Adult,HHS_HCC103,Yes,0.663,0.586,0.492,0.379,0.376
Adult,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC110,Yes,5.153,4.975,4.928,4.826,4.824
Adult,HHS_HCC111,Yes,5.09,4.946,4.876,4.755,4.753
Adult,HHS_HCC112,Yes,0.73,0.629,0.565,0.467,0.465
Adult,HHS_HCC113,Yes,0.424,0.355,0.299,0.219,0.217
Adult,HHS_HCC114,Yes,1.205,1.12,1.063,0.972,0.969
Adult,HHS_HCC115,Yes,5.216,5.134,5.117,5.076,5.076
Adult,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC118,Yes,2.218,2.101,2.042,1.944,1.941
Adult,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC120,Yes,1.04,0.948,0.884,0.792,0.789
Adult,HHS_HCC121,Yes,9.585,9.491,9.44,9.362,9.36
Adult,HHS_HCC122,Yes,10.181,10.044,9.986,9.886,9.884
Adult,HHS_HCC123,Yes,4.533,4.405,4.34,4.237,4.235
Adult,HHS_HCC125,Yes,21.869,21.665,21.623,21.532,21.534
Adult,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC130,Yes,1.896,1.809,1.773,1.707,1.705
Adult,HHS_HCC131,Yes,4.955,4.737,4.72,4.652,4.653
Adult,HHS_HCC132,Yes,3.69,3.489,3.452,3.355,3.355
Adult,HHS_HCC135,Yes,8.848,8.756,8.695,8.602,8.599
Adult,HHS_HCC137,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC138,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC139,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC142,Yes,1.921,1.819,1.752,1.645,1.645
Adult,HHS_HCC145,Yes,10.648,10.49,10.444,10.356,10.355
Adult,HHS_HCC146,Yes,1.428,1.314,1.282,1.212,1.212
Adult,HHS_HCC149,Yes,2.218,2.102,2.044,1.944,1.941
Adult,HHS_HCC150,Yes,3.309,3.19,3.178,3.134,3.134
Adult,HHS_HCC151,Yes,2.494,2.386,2.342,2.264,2.262
Adult,HHS_HCC153,Yes,7.988,7.837,7.849,7.827,7.828
Adult,HHS_HCC154,Yes,5.128,4.989,4.949,4.869,4.868
Adult,HHS_HCC156,Yes,7.621,7.535,7.461,7.345,7.341
Adult,HHS_HCC158,Yes,11.099,10.994,10.963,10.924,10.93
Adult,HHS_HCC159,Yes,4.156,4.021,3.969,3.883,3.881
Adult,HHS_HCC160,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_1,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_2,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC162,Yes,1.615,1.529,1.476,1.391,1.388
Adult,HHS_HCC163,Yes,7.187,7.124,7.105,7.067,7.067
Adult,HHS_HCC174,Yes,1.224,1.097,1.01,0.878,0.874
Adult,HHS_HCC183,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC184,Yes,20.669,20.237,20.33,20.158,20.046
Adult,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC203,Yes,1.85,1.673,1.534,1.319,1.314
Adult,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC209,Yes,2.769,2.554,2.335,1.972,1.962
Adult,HHS_HCC210,Yes,0.815,0.714,0.561,0.37,0.363
Adult,HHS_HCC211,Yes,0.53,0.454,0.318,0.17,0.166
Adult,HHS_HCC212,Yes,0.018,0.005,0.0,0.0,0.0
Adult,HHS_HCC217,Yes,1.557,1.464,1.433,1.375,1.374
Adult,HHS_HCC218,Yes,23.714,23.524,23.474,23.384,23.383
Adult,HHS_HCC219,Yes,2.604,2.484,2.428,2.345,2.344
Adult,HHS_HCC223,Yes,18.201,18.057,17.99,17.882,17.879
Adult,HHS_HCC226,Yes,8.018,7.783,7.765,7.688,7.688
Adult,HHS_HCC228,Yes,4.277,4.116,4.047,3.925,3.922
Adult,HHS_HCC234,Yes,4.861,4.706,4.682,4.619,4.618
Adult,HHS_HCC251,Yes,18.571,18.584,18.547,18.531,18.535
Adult,HHS_HCC253,Yes,5.697,5.584,5.563,5.511,5.511
Adult,HHS_HCC254,Yes,0.936,0.835,0.799,0.738,0.736
Adult,G01,Yes,0.259,0.214,0.172,0.13,0.128
Adult,G02B,Yes,23.821,23.642,23.619,23.556,23.556
Adult,G04,Yes,1.924,1.801,1.74,1.639,1.637
Adult,G06A,Yes,11.237,11.118,11.09,11.024,11.02
Adult,G08,Yes,4.065,3.975,3.947,3.887,3.885
Adult,G09A,Yes,1.602,1.472,1.377,1.233,1.229
Adult,G09C,Yes,0.902,0.788,0.716,0.612,0.61
Adult,G10,Yes,9.112,8.957,8.905,8.806,8.805
Adult,G11,Yes,6.38,6.241,6.187,6.089,6.087
Adult,G12,Yes,1.393,1.304,1.236,1.136,1.134
Adult,G13,Yes,8.558,8.341,8.3,8.21,8.209
Adult,G14,Yes,17.404,17.301,17.262,17.214,17.224
Adult,G15A,Yes,0.643,0.567,0.491,0.395,0.392
Adult,G16,Yes,0.773,0.689,0.685,0.645,0.633
Adult,G17A,Yes,0.646,0.565,0.439,0.26,0.254
Adult,G18A,Yes,3.756,3.47,3.289,2.991,2.985
Adult,G21,Yes,2.122,2.033,1.975,1.895,1.893
Adult,G24,Yes,6.32,6.253,6.239,6.228,6.219
Adult,SEVERE_HCC_COUNT1,Yes,-6.014,-6.07,-6.119,-6.189,-6.189
Adult,SEVERE_HCC_COUNT2,Yes,-5.733,-5.806,-5.833,-5.886,-5.886
Adult,SEVERE_HCC_COUNT3,Yes,-4.904,-4.952,-4.891,-4.846,-4.844
Adult,SEVERE_HCC_COUNT4,Yes,-4.19,-4.178,-4.033,-3.871,-3.865
Adult,SEVERE_HCC_COUNT5,Yes,-3.522,-3.432,-3.216,-2.954,-2.945
Adult,SEVERE_HCC_COUNT6,Yes,-3.024,-2.835,-2.557,-2.202,-2.192
Adult,SEVERE_HCC_COUNT7,Yes,-2.432,-2.116,-1.78,-1.33,-1.318
Adult,SEVERE_HCC_COUNT8,Yes,-2.179,-1.784,-1.416,-0.91,-0.896
Adult,SEVERE_HCC_COUNT9,Yes,-0.287,0.253,0.676,1.279,1.294
Adult,SEVERE_HCC_COUNT10PLUS,Yes,7.398,8.299,8.836,9.657,9.679
Adult,TRANSPLANT_HCC_COUNT4,Yes,3.792,3.704,3.651,3.531,3.516
Adult,TRANSPLANT_HCC_COUNT5,Yes,7.054,6.949,6.906,6.792,6.775
Adult,TRANSPLANT_HCC_COUNT6,Yes,12.584,12.463,12.431,12.324,12.304
Adult,TRANSPLANT_HCC_COUNT7,Yes,15.636,15.506,15.473,15.364,15.346
Adult,TRANSPLANT_HCC_COUNT8PLUS,Yes,31.955,31.916,31.908,31.845,31.825
Adult,HCC_ED1,Yes,11.208,9.742,8.808,7.844,7.818
Adult,HCC_ED2,Yes,5.197,4.458,3.958,3.479,3.466
Adult,HCC_ED3,Yes,3.378,2.898,2.549,2.224,2.216
Adult,HCC_ED4,Yes,2.129,1.799,1.545,1.313,1.307
Adult,HCC_ED5,Yes,1.586,1.34,1.143,0.959,0.955
Adult,HCC_ED6,Yes,1.039,0.857,0.705,0.56,0.556
Adult,RXC_01,Yes,5.097,4.612,4.345,3.92,3.908
Adult,RXC_02,Yes,8.273,7.809,7.812,7.711,7.714
Adult,RXC_03,Yes,0.08,0.072,0.064,0.051,0.036
Adult,RXC_04,Yes,0.901,1.115,1.007,1.206,1.39
Adult,RXC_05,Yes,1.324,1.227,1.105,0.941,0.936
Adult,RXC_06,Yes,1.366,1.193,1.018,0.844,0.838
Adult,RXC_07,Yes,0.8,0.702,0.582,0.409,0.403
Adult,RXC_08,Yes,15.175,14.409,14.206,13.774,13.767
Adult,RXC_09,Yes,12.005,11.495,11.478,11.335,11.337
Adult,RXC_10,Yes,17.441,17.041,17.022,16.903,16.902
Adult,RXC_01_X_HCC001,Yes,2.467,2.521,2.79,3.101,3.115
Adult,RXC_02_X_HCC037_1_036_035_2_035_1_034,Yes,-0.514,-0.454,-0.403,-0.348,-0.347
Adult,RXC_03_X_HCC142,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_04_X_HCC184_183_187_188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_05_X_HCC048_041,Yes,-0.688,-0.631,-0.57,-0.471,-0.468
Adult,RXC_06_X_HCC018_019_020_021,Yes,0.402,0.444,0.532,0.544,0.546
Adult,RXC_07_X_HCC018_019_020_021,Yes,-0.258,-0.213,-0.172,-0.13,-0.128
Adult,RXC_08_X_HCC118,Yes,-0.132,0.227,0.497,0.902,0.914
Adult,RXC_09_X_HCC056_057_AND_048_041,Yes,0.343,0.396,0.433,0.492,0.494
Adult,RXC_09_X_HCC056,Yes,-1.082,-0.993,-0.93,-0.845,-0.843
Adult,RXC_09_X_HCC057,Yes,-0.399,-0.329,-0.249,-0.146,-0.142
Adult,RXC_09_X_HCC048_041,Yes,1.315,1.406,1.499,1.634,1.638
Adult,RXC_10_X_HCC159_158,Yes,42.562,42.609,42.695,42.807,42.812
Child,MAGE_LAST_2_4,Yes,0.27,0.191,0.141,0.105,0.104
Child,MAGE_LAST_5_9,Yes,0.204,0.135,0.096,0.071,0.071
Child,MAGE_LAST_10_14,Yes,0.224,0.156,0.115,0.09,0.089
Child,MAGE_LAST_15_20,Yes,0.26,0.187,0.137,0.102,0.101
Child,FAGE_LAST_2_4,Yes,0.223,0.153,0.113,0.089,0.088
Child,FAGE_LAST_5_9,Yes,0.149,0.086,0.053,0.034,0.034
Child,FAGE_LAST_10_14,Yes,0.222,0.153,0.113,0.089,0.088
Child,FAGE_LAST_15_20,Yes,0.3,0.212,0.145,0.097,0.095
Child,HHS_HCC001,Yes,4.355,3.942,3.856,3.659,3.657
Child,HHS_HCC002,Yes,14.567,14.37,14.294,14.176,14.174
Child,HHS_HCC003,Yes,13.944,13.811,13.745,13.658,13.656
Child,HHS_HCC004,Yes,12.972,12.833,12.741,12.617,12.614
Child,HHS_HCC006,Yes,18.957,18.895,18.813,18.719,18.716
Child,HHS_HCC008,Yes,30.53,30.304,30.243,30.137,30.136
Child,HHS_HCC009,Yes,8.962,8.738,8.64,8.486,8.484
Child,HHS_HCC010,Yes,7.708,7.523,7.421,7.266,7.263
Child,HHS_HCC011,Yes,4.194,4.057,3.972,3.844,3.841
Child,HHS_HCC012,Yes,4.194,4.057,3.972,3.844,3.841
Child,HHS_HCC013,Yes,1.265,1.155,1.058,0.937,0.933
Child,HHS_HCC018,Yes,11.66,11.58,11.544,11.505,11.503
Child,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC023,Yes,19.614,19.505,19.457,19.397,19.396
Child,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC028,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC029,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC030,Yes,5.289,5.072,5.007,4.902,4.901
Child,HHS_HCC034,Yes,11.66,11.58,11.544,11.505,11.503
Child,HHS_HCC035_1,Yes,7.742,7.607,7.57,7.488,7.487
Child,HHS_HCC035_2,Yes,7.742,7.607,7.57,7.488,7.487
Child,HHS_HCC036,Yes,3.999,3.881,3.835,3.764,3.763
Child,HHS_HCC037_1,Yes,1.257,1.152,1.093,1.027,1.025
Child,HHS_HCC037_2,Yes,0.294,0.249,0.198,0.14,0.138
Child,HHS_HCC041,Yes,13.387,13.303,13.228,13.137,13.135
Child,HHS_HCC042,Yes,19.019,18.756,18.703,18.597,18.597
Child,HHS_HCC045,Yes,4.601,4.431,4.343,4.208,4.205
Child,HHS_HCC046,Yes,10.235,10.115,10.085,10.007,10.007
Child,HHS_HCC047,Yes,4.988,4.771,4.687,4.541,4.538
Child,HHS_HCC048,Yes,9.947,9.582,9.498,9.313,9.311
Child,HHS_HCC054,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC055,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC056,Yes,4.632,4.397,4.315,4.181,4.179
Child,HHS_HCC057,Yes,0.878,0.777,0.679,0.559,0.555
Child,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC063,Yes,0.972,0.841,0.742,0.616,0.613
Child,HHS_HCC066,Yes,64.093,63.672,63.604,63.429,63.427
Child,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC070,Yes,3.564,3.4,3.303,3.173,3.17
Child,HHS_HCC071,Yes,3.369,3.233,3.16,3.055,3.053
Child,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC075,Yes,4.043,3.938,3.869,3.779,3.777
Child,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC087_1,Yes,3.545,3.304,3.188,3.007,3.004
Child,HHS_HCC087_2,Yes,3.289,3.067,2.94,2.745,2.741
Child,HHS_HCC088,Yes,2.506,2.319,2.191,2.017,2.013
Child,HHS_HCC090,Yes,0.348,0.263,0.159,0.043,0.04
Child,HHS_HCC094,Yes,2.207,2.07,1.977,1.846,1.843
Child,HHS_HCC096,Yes,12.082,12.007,11.947,11.87,11.868
Child,HHS_HCC097,Yes,0.867,0.758,0.686,0.583,0.581
Child,HHS_HCC102,Yes,2.506,2.319,2.191,2.017,2.013
Child,HHS_HCC103,Yes,0.374,0.303,0.222,0.14,0.139
Child,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC110,Yes,4.75,4.568,4.457,4.285,4.28
Child,HHS_HCC111,Yes,49.556,49.316,49.259,49.139,49.137
Child,HHS_HCC112,Yes,0.638,0.454,0.383,0.266,0.265
Child,HHS_HCC113,Yes,0.254,0.134,0.073,0.029,0.028
Child,HHS_HCC114,Yes,1.624,1.514,1.448,1.345,1.342
Child,HHS_HCC115,Yes,10.278,10.133,10.111,10.053,10.053
Child,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC118,Yes,9.135,8.789,8.736,8.602,8.604
Child,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC120,Yes,1.556,1.429,1.316,1.169,1.165
Child,HHS_HCC121,Yes,11.666,11.63,11.604,11.58,11.579
Child,HHS_HCC122,Yes,11.216,11.25,11.261,11.287,11.287
Child,HHS_HCC123,Yes,4.058,3.911,3.807,3.664,3.659
Child,HHS_HCC125,Yes,24.72,24.506,24.442,24.337,24.336
Child,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC130,Yes,4.067,3.968,3.914,3.83,3.828
Child,HHS_HCC131,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC132,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC135,Yes,17.077,16.964,16.888,16.786,16.783
Child,HHS_HCC137,Yes,3.938,3.796,3.682,3.54,3.536
Child,HHS_HCC138,Yes,0.986,0.896,0.79,0.685,0.682
Child,HHS_HCC139,Yes,0.59,0.506,0.425,0.347,0.345
Child,HHS_HCC142,Yes,3.118,2.98,2.899,2.785,2.783
Child,HHS_HCC145,Yes,12.686,12.611,12.565,12.497,12.495
Child,HHS_HCC146,Yes,1.47,1.362,1.304,1.21,1.208
Child,HHS_HCC149,Yes,1.049,0.952,0.899,0.807,0.804
Child,HHS_HCC150,Yes,5.471,5.353,5.295,5.207,5.205
Child,HHS_HCC151,Yes,1.374,1.253,1.183,1.072,1.07
Child,HHS_HCC153,Yes,11.86,11.625,11.557,11.424,11.422
Child,HHS_HCC154,Yes,8.127,7.988,7.947,7.872,7.871
Child,HHS_HCC156,Yes,19.738,19.604,19.533,19.426,19.425
Child,HHS_HCC158,Yes,13.387,13.303,13.228,13.137,13.135
Child,HHS_HCC159,Yes,48.718,48.241,48.201,48.054,48.055
Child,HHS_HCC160,Yes,1.658,1.507,1.403,1.267,1.264
Child,HHS_HCC161_1,Yes,1.323,1.171,1.045,0.889,0.885
Child,HHS_HCC161_2,Yes,0.32,0.25,0.17,0.102,0.1
Child,HHS_HCC162,Yes,1.49,1.361,1.249,1.115,1.111
Child,HHS_HCC163,Yes,11.216,11.25,11.261,11.287,11.287
Child,HHS_HCC183,Yes,11.66,11.58,11.544,11.505,11.503
Child,HHS_HCC184,Yes,29.641,29.391,29.371,29.278,29.278
Child,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC203,Yes,0.864,0.731,0.565,0.411,0.406
Child,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC209,Yes,2.399,2.179,1.914,1.475,1.46
Child,HHS_HCC210,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC211,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC212,Yes,0.276,0.187,0.079,0.037,0.036
Child,HHS_HCC217,Yes,1.877,1.782,1.712,1.634,1.632
Child,HHS_HCC218,Yes,22.876,22.657,22.576,22.44,22.437
Child,HHS_HCC219,Yes,2.441,2.286,2.187,2.056,2.053
Child,HHS_HCC223,Yes,22.876,22.657,22.576,22.44,22.437
Child,HHS_HCC226,Yes,4.636,4.428,4.327,4.191,4.188
Child,HHS_HCC228,Yes,4.483,4.293,4.176,3.999,3.994
Child,HHS_HCC234,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC251,Yes,13.387,13.303,13.228,13.137,13.135
Child,HHS_HCC253,Yes,5.711,5.551,5.525,5.451,5.45
Child,HHS_HCC254,Yes,0.0,0.0,0.0,0.0,0.0
Child,G01,Yes,2.364,2.121,1.914,1.622,1.615
Child,G02B,Yes,34.44,34.213,34.169,34.07,34.07
Child,G02D,Yes,4.69,4.583,4.523,4.442,4.439
Child,G03,Yes,4.144,3.957,3.872,3.746,3.745
Child,G04,Yes,1.241,1.14,1.069,0.981,0.979
Child,G06A,Yes,12.305,12.163,12.117,12.039,12.038
Child,G08,Yes,5.105,4.975,4.918,4.826,4.824
Child,G09A,Yes,2.35,2.204,2.111,1.972,1.969
Child,G09C,Yes,0.899,0.765,0.658,0.502,0.499
Child,G10,Yes,10.147,9.959,9.908,9.81,9.809
Child,G11,Yes,9.868,9.664,9.615,9.515,9.514
Child,G12,Yes,5.546,5.399,5.326,5.206,5.203
Child,G13,Yes,15.72,15.472,15.398,15.267,15.266
Child,G14,Yes,13.387,13.303,13.228,13.137,13.135
Child,G16,Yes,0.787,0.749,0.722,0.685,0.683
Child,G17A,Yes,0.474,0.369,0.227,0.089,0.086
Child,G18A,Yes,3.166,2.876,2.634,2.231,2.219
Child,G19B,Yes,0.42,0.308,0.152,0.039,0.036
Child,G22,Yes,3.818,3.627,3.528,3.362,3.357
Child,G23,Yes,1.06,1.025,1.005,0.979,0.979
Child,SEVERE_HCC_COUNT1,Yes,-11.216,-11.25,-11.261,-11.287,-11.287
Child,SEVERE_HCC_COUNT2,Yes,-11.137,-11.2,-11.218,-11.265,-11.266
Child,SEVERE_HCC_COUNT3,Yes,-9.692,-9.76,-9.689,-9.658,-9.655
Child,SEVERE_HCC_COUNT4,Yes,-8.984,-8.987,-8.809,-8.652,-8.645
